Campaign_Name,Placement_Name,Creative_Name,Site_Name,Date,Ad_Type,Environment,Device,Impressions,Clicks,CTR,Total_Conversions,Post_Click_Conversions,Post_View_Conversions,Click_Through_Conversions,View_Through_Conversions,Media_Cost,Revenue,ROAS,CPM,CPC,CPA,Viewable_Impressions,Measurable_Impressions,Viewability_Rate,Active_View_Viewable_Impressions,Active_View_Measurable_Impressions,Active_View_Eligible_Impressions,Active_View_Avg_Time_Seconds
Holiday_Campaign_2024,Display_Placement,Display_Creative,Deals.com,2024-06-01,Display,Mobile,Mobile,1714837,33425,1.95,1777,1510,267,1510,267,76786.87,257409.11,3.35,44.78,2.3,43.21,1543353,1714837,90.0,1543353,1714837,1714837,15.3
Holiday_Campaign_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-01,Video,Desktop,Desktop,1958454,47035,2.4,3267,2776,491,2776,491,87052.67,621746.62,7.14,44.45,1.85,26.65,1762608,1958454,90.0,1762608,1958454,1958454,14.3
Holiday_Campaign_2024,Video_Placement,Video_Creative,Deals.com,2024-06-01,Video,Mobile,Mobile,2682425,51370,1.92,4398,3738,660,3738,660,122400.3,796074.83,6.5,45.63,2.38,27.83,2414182,2682425,90.0,2414182,2682425,2682425,13.5
Black_Friday_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-01,Native,Desktop,Desktop,994770,26517,2.67,2286,1943,343,1943,343,56070.47,389970.97,6.96,56.37,2.11,24.53,895293,994770,90.0,895293,994770,994770,13.0
Black_Friday_2024,Native_Placement,Native_Creative,Lifestyle.com,2024-06-01,Native,Mobile,Mobile,1582093,39865,2.52,3628,3083,545,3083,545,83960.38,639823.57,7.62,53.07,2.11,23.14,1423883,1582093,90.0,1423883,1582093,1582093,15.2
Black_Friday_2024,Native_Placement,Native_Creative,Deals.com,2024-06-01,Native,Mobile,Mobile,1852229,39380,2.13,3167,2691,476,2691,476,96430.71,460189.28,4.77,52.06,2.45,30.45,1667006,1852229,90.0,1667006,1852229,1852229,10.3
Cyber_Monday_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-01,Display,Desktop,Desktop,1746307,34421,1.97,2243,1906,337,1906,337,74890.34,425422.26,5.68,42.88,2.18,33.39,1571676,1746307,90.0,1571676,1746307,1746307,13.5
Cyber_Monday_2024,Display_Placement,Display_Creative,TechReview.com,2024-06-01,Display,Desktop,Desktop,945938,25352,2.68,2052,1744,308,1744,308,47254.31,334363.13,7.08,49.95,1.86,23.03,851344,945938,90.0,851344,945938,945938,14.7
Cyber_Monday_2024,Video_Placement,Video_Creative,PremiumNews.com,2024-06-01,Video,Mobile,Mobile,2126026,48921,2.3,2887,2453,434,2453,434,115197.36,462453.14,4.01,54.18,2.35,39.9,1913423,2126026,90.0,1913423,2126026,2126026,14.5
Summer_Sale_2024,Native_Placement,Native_Creative,PremiumNews.com,2024-06-01,Native,Desktop,Desktop,2700745,51009,1.89,3165,2690,475,2690,475,91304.29,496396.25,5.44,33.81,1.79,28.85,2430670,2700745,90.0,2430670,2700745,2700745,9.9
