Advertiser,Insertion_Order,Line_Item,Creative,Date,Environment,Exchange,Device,Inventory_Type,Impressions,Clicks,CTR,Conversions,Post_Click_Conv,Post_View_Conv,Revenue_Adv_Currency,Media_Cost_Adv_Currency,ROAS,CPM,CPC,CPA,Viewable_Impressions,Measurable_Impressions,Viewability_Percent,Active_View_Viewable_Impressions,Active_View_Measurable_Impressions,Video_Completions,Video_Completion_Rate,Video_Quartile_1,Video_Quartile_2,Video_Quartile_3
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,The_Trade_Desk,Mobile,Programmatic_Guaranteed,1713326,19409,1.13,1629,1400,229,257331.54,39433.89,6.53,23.02,2.03,24.21,1541993,1713326,90.0,1541993,1713326,1027995,60.0,1541993,1370660,1027995
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Google_Ad_Manager,Desktop,Programmatic_Guaranteed,3084310,34690,1.12,2831,2434,397,493973.06,74271.48,6.65,24.08,2.14,26.24,2775879,3084310,90.0,2775879,3084310,1850586,60.0,2775879,2467448,1850586
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,YouTube,Mobile,Programmatic_Guaranteed,1756637,25771,1.47,1303,1120,183,202611.89,47604.99,4.26,27.1,1.85,36.53,1580973,1756637,90.0,1580973,1756637,1053982,60.0,1580973,1405309,1053982
Premium_Brand_2024,Black_Friday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,YouTube,Connected_TV,Programmatic_Guaranteed,2341447,44859,1.92,2691,2314,377,525711.35,86902.09,6.05,37.11,1.94,32.29,2107302,2341447,90.0,2107302,2341447,0,0.0,0,0,0
Premium_Brand_2024,Black_Friday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,AppNexus,Desktop,Private_Marketplace,3275876,49981,1.53,2803,2410,393,491424.74,89084.23,5.52,27.19,1.78,31.78,2948288,3275876,90.0,2948288,3275876,0,0.0,0,0,0
Premium_Brand_2024,Black_Friday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,AppNexus,Desktop,Private_Marketplace,2459764,26674,1.08,1756,1510,246,271904.52,58570.3,4.64,23.81,2.2,33.35,2213787,2459764,90.0,2213787,2459764,0,0.0,0,0,0
Premium_Brand_2024,Cyber_Monday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Connected_TV,Private_Marketplace,1242177,14369,1.16,1118,961,157,169162.51,31321.87,5.4,25.22,2.18,28.02,1117959,1242177,90.0,1117959,1242177,0,0.0,0,0,0
Premium_Brand_2024,Cyber_Monday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Mobile,Private_Marketplace,4015991,64841,1.61,4588,3945,643,771996.45,113977.62,6.77,28.38,1.76,24.84,3614391,4015991,90.0,3614391,4015991,0,0.0,0,0,0
Premium_Brand_2024,Cyber_Monday_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,The_Trade_Desk,Connected_TV,Open_Auction,2642536,49425,1.87,3720,3199,521,594469.37,99420.9,5.98,37.62,2.01,26.73,2378282,2642536,90.0,2378282,2642536,0,0.0,0,0,0
Premium_Brand_2024,Summer_Sale_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Connected_TV,Open_Auction,3154619,54570,1.73,3550,3053,497,567550.64,119854.74,4.74,37.99,2.2,33.76,2839157,3154619,90.0,2839157,3154619,0,0.0,0,0,0
Premium_Brand_2024,Summer_Sale_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,AppNexus,Desktop,Private_Marketplace,2109355,37163,1.76,2693,2315,378,481690.77,74086.36,6.5,35.12,1.99,27.51,1898419,2109355,90.0,1898419,2109355,0,0.0,0,0,0
Premium_Brand_2024,Summer_Sale_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Hulu,Connected_TV,Private_Marketplace,1202457,16408,1.36,1198,1030,168,209901.89,28765.18,7.3,23.92,1.75,24.01,1082211,1202457,90.0,1082211,1202457,0,0.0,0,0,0
Premium_Brand_2024,Back_To_School_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,AppNexus,Mobile,Programmatic_Guaranteed,3336960,63353,1.9,3758,3231,527,752649.75,120541.67,6.24,36.12,1.9,32.08,3003264,3336960,90.0,3003264,3336960,2002176,60.0,3003264,2669568,2002176
Premium_Brand_2024,Back_To_School_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,The_Trade_Desk,Desktop,Programmatic_Guaranteed,1690756,29622,1.75,1671,1437,234,291369.98,65850.78,4.42,38.95,2.22,39.41,1521680,1690756,90.0,1521680,1690756,0,0.0,0,0,0
Premium_Brand_2024,Back_To_School_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,The_Trade_Desk,Connected_TV,Open_Auction,2962959,35646,1.2,2776,2387,389,517698.91,74939.22,6.91,25.29,2.1,27.0,2666663,2962959,90.0,2666663,2962959,0,0.0,0,0,0
Premium_Brand_2024,Spring_Launch_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Hulu,Desktop,Programmatic_Guaranteed,2039155,26706,1.31,1687,1450,237,310726.15,48416.49,6.42,23.74,1.81,28.7,1835239,2039155,90.0,1835239,2039155,0,0.0,0,0,0
Premium_Brand_2024,Spring_Launch_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Google_Ad_Manager,Mobile,Programmatic_Guaranteed,1766425,30154,1.71,2144,1843,301,344371.92,51109.15,6.74,28.93,1.69,23.84,1589782,1766425,90.0,1589782,1766425,1059855,60.0,1589782,1413140,1059855
Premium_Brand_2024,Spring_Launch_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,Hulu,Desktop,Private_Marketplace,2149151,31445,1.46,2326,2000,326,463512.05,63303.76,7.32,29.46,2.01,27.22,1934235,2149151,90.0,1934235,2149151,1289490,60.0,1934235,1719320,1289490
Premium_Brand_2024,Valentine_Day_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,The_Trade_Desk,Mobile,Private_Marketplace,2596129,45065,1.74,3576,3075,501,706529.15,72457.09,9.75,27.91,1.61,20.26,2336516,2596129,90.0,2336516,2596129,1557677,60.0,2336516,2076903,1557677
Premium_Brand_2024,Valentine_Day_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,YouTube,Connected_TV,Open_Auction,4046086,56916,1.41,3787,3256,531,661737.01,125174.54,5.29,30.94,2.2,33.05,3641477,4046086,90.0,3641477,4046086,0,0.0,0,0,0
Premium_Brand_2024,Valentine_Day_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Mobile,Open_Auction,3909766,42323,1.08,2518,2165,353,434595.21,69030.11,6.3,17.66,1.63,27.41,3518789,3909766,90.0,3518789,3909766,0,0.0,0,0,0
Premium_Brand_2024,New_Year_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,The_Trade_Desk,Mobile,Private_Marketplace,2429414,37967,1.56,2690,2313,377,409120.8,70070.5,5.84,28.84,1.85,26.05,2186472,2429414,90.0,2186472,2429414,1457648,60.0,2186472,1943531,1457648
Premium_Brand_2024,New_Year_2024_IO,Video_LI,Video_Creative,2024-06-01,Video,The_Trade_Desk,Mobile,Private_Marketplace,3516876,54993,1.56,4844,4165,679,822650.37,104318.03,7.89,29.66,1.9,21.54,3165188,3516876,90.0,3165188,3516876,2110125,60.0,3165188,2813500,2110125
Premium_Brand_2024,New_Year_2024_IO,Display_LI,Display_Creative,2024-06-01,Display,Google_Ad_Manager,Mobile,Programmatic_Guaranteed,2047829,24103,1.18,1436,1234,202,253075.0,46778.33,5.41,22.84,1.94,32.58,1843046,2047829,90.0,1843046,2047829,0,0.0,0,0,0
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,AppNexus,Desktop,Private_Marketplace,2459925,30525,1.24,2683,2307,376,435499.44,64369.03,6.77,26.17,2.11,23.99,2213932,2459925,90.0,2213932,2459925,1475955,60.0,2213932,1967940,1475955
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,AppNexus,Connected_TV,Private_Marketplace,2279713,41999,1.84,2728,2346,382,423037.52,83744.47,5.05,36.73,1.99,30.7,2051741,2279713,90.0,2051741,2279713,1367827,60.0,2051741,1823770,1367827
Premium_Brand_2024,Holiday_Campaign_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,The_Trade_Desk,Desktop,Open_Auction,1924616,27424,1.42,2099,1805,294,416997.79,48775.56,8.55,25.34,1.78,23.24,1732154,1924616,90.0,1732154,1924616,1154769,60.0,1732154,1539692,1154769
Premium_Brand_2024,Black_Friday_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,AppNexus,Connected_TV,Private_Marketplace,1445401,25309,1.75,1627,1399,228,320865.63,55934.22,5.74,38.7,2.21,34.38,1300860,1445401,90.0,1300860,1445401,0,0.0,0,0,0
Premium_Brand_2024,Black_Friday_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,AppNexus,Mobile,Programmatic_Guaranteed,2086314,31134,1.49,1727,1485,242,332348.2,65709.67,5.06,31.5,2.11,38.05,1877682,2086314,90.0,1877682,2086314,1251788,60.0,1877682,1669051,1251788
Premium_Brand_2024,Black_Friday_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,YouTube,Mobile,Programmatic_Guaranteed,2589486,36436,1.41,2097,1803,294,347586.95,65551.9,5.3,25.31,1.8,31.26,2330537,2589486,90.0,2330537,2589486,1553691,60.0,2330537,2071588,1553691
Premium_Brand_2024,Cyber_Monday_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,Hulu,Connected_TV,Open_Auction,2105196,27977,1.33,2436,2094,342,397452.77,50744.71,7.83,24.1,1.81,20.83,1894676,2105196,90.0,1894676,2105196,1263117,60.0,1894676,1684156,1263117
Premium_Brand_2024,Cyber_Monday_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,The_Trade_Desk,Mobile,Private_Marketplace,2150875,41173,1.91,3339,2871,468,628596.66,70708.69,8.89,32.87,1.72,21.18,1935787,2150875,90.0,1935787,2150875,0,0.0,0,0,0
Premium_Brand_2024,Cyber_Monday_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,Hulu,Desktop,Open_Auction,2171181,41363,1.91,3574,3073,501,616926.97,67597.57,9.13,31.13,1.63,18.91,1954062,2171181,90.0,1954062,2171181,1302708,60.0,1954062,1736944,1302708
Premium_Brand_2024,Summer_Sale_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,YouTube,Desktop,Open_Auction,3121609,60123,1.93,3161,2718,443,551884.52,111060.5,4.97,35.58,1.85,35.13,2809448,3121609,90.0,2809448,3121609,0,0.0,0,0,0
Premium_Brand_2024,Summer_Sale_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,The_Trade_Desk,Mobile,Open_Auction,2268376,33122,1.46,2136,1836,300,407805.87,76746.51,5.31,33.83,2.32,35.93,2041538,2268376,90.0,2041538,2268376,1361025,60.0,2041538,1814700,1361025
Premium_Brand_2024,Summer_Sale_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,AppNexus,Mobile,Open_Auction,3652548,51852,1.42,4460,3835,625,697006.45,84664.19,8.23,23.18,1.63,18.98,3287293,3652548,90.0,3287293,3652548,0,0.0,0,0,0
Premium_Brand_2024,Back_To_School_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,The_Trade_Desk,Connected_TV,Private_Marketplace,3030027,47277,1.56,2633,2264,369,526413.77,108752.87,4.84,35.89,2.3,41.3,2727024,3030027,90.0,2727024,3030027,0,0.0,0,0,0
Premium_Brand_2024,Back_To_School_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,YouTube,Desktop,Private_Marketplace,2795768,35358,1.26,2146,1845,301,384486.78,66382.48,5.79,23.74,1.88,30.93,2516191,2795768,90.0,2516191,2795768,0,0.0,0,0,0
Premium_Brand_2024,Back_To_School_2024_IO,Display_LI,Display_Creative,2024-06-02,Display,Google_Ad_Manager,Desktop,Open_Auction,3646491,69666,1.91,6108,5252,856,1151365.53,113530.19,10.14,31.13,1.63,18.59,3281841,3646491,90.0,3281841,3646491,0,0.0,0,0,0
Premium_Brand_2024,Spring_Launch_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,Google_Ad_Manager,Connected_TV,Programmatic_Guaranteed,2396495,32351,1.35,1883,1619,264,289076.24,69353.57,4.17,28.94,2.14,36.83,2156845,2396495,90.0,2156845,2396495,1437897,60.0,2156845,1917196,1437897
Premium_Brand_2024,Spring_Launch_2024_IO,Video_LI,Video_Creative,2024-06-02,Video,The_Trade_Desk,Connected_TV,Private_Marketplace,2248423,26766,1.19,1825,1569,256,366152.6,62273.3,5.88,27.7,2.33,34.12,2023580,2248423,90.0,2023580,2248423,1349053,60.0,2023580,1798738,1349053
