Campaign_Name,Ad_Group_Name,Keyword,Match_Type,Date,Network,Device,Location,Age,Gender,Impressions,Clicks,CTR,Avg_CPC,Cost,Conversions,Conv_Rate,Cost_Per_Conv,Conv_Value,ROAS,Quality_Score,Impression_Share,Search_Impr_Share,Top_Impr_Rate
Holiday_Shopping_2024,holiday_AG,holiday gifts,Broad,2024-06-01,Search,Mobile,United States,25-34,Female,401375,11615,2.89,2.32,26939.17,1086,9.35,24.81,193817.66,7.19,7,78.0,76.3,76.7
Holiday_Shopping_2024,christmas_AG,christmas presents,Phrase,2024-06-01,Search,Mobile,United States,35-44,Female,515303,11141,2.16,1.59,17750.49,1138,10.21,15.6,183921.11,10.36,9,84.2,71.1,66.8
Holiday_Shopping_2024,best_AG,best deals,Exact,2024-06-01,Shopping,Mobile,United States,18-24,Male,536455,14316,2.67,2.27,32441.83,1108,7.74,29.28,192338.74,5.93,10,68.3,74.2,69.0
Black_Friday_2024,black_AG,black friday deals,Exact,2024-06-01,Search,Desktop,United States,45-54,Female,1145782,35447,3.09,1.99,70440.67,2153,6.07,32.72,404215.09,5.74,8,63.8,72.5,58.2
Black_Friday_2024,black_AG,black friday sale,Phrase,2024-06-01,Search,Desktop,United States,25-34,Male,786997,21289,2.71,1.87,39836.0,2273,10.68,17.53,396162.08,9.94,10,78.3,70.3,58.6
Black_Friday_2024,bf_AG,bf deals,Broad,2024-06-01,Search,Desktop,United States,18-24,Male,1092022,30842,2.82,2.03,62613.12,2489,8.07,25.16,416979.5,6.66,8,80.6,77.7,71.2
Cyber_Monday_2024,cyber_AG,cyber monday tech,Exact,2024-06-01,Shopping,Mobile,United States,35-44,Male,737986,19666,2.66,1.51,29784.35,1790,9.1,16.64,308647.75,10.36,8,65.3,71.4,71.1
Cyber_Monday_2024,laptop_AG,laptop deals,Phrase,2024-06-01,Shopping,Mobile,United States,45-54,Female,545974,16868,3.09,2.34,39494.41,1103,6.54,35.81,189914.29,4.81,8,77.2,68.7,61.6
Cyber_Monday_2024,tech_AG,tech sale,Broad,2024-06-01,Search,Desktop,United States,25-34,Male,503689,10155,2.02,2.31,23420.11,681,6.71,34.39,101775.36,4.35,8,68.7,77.7,61.0
Summer_Sale_2024,summer_AG,summer sale,Broad,2024-06-01,Shopping,Desktop,United States,25-34,Female,492209,11376,2.31,1.81,20534.75,907,7.97,22.64,164848.92,8.03,7,64.0,62.9,63.0
Summer_Sale_2024,summer_AG,summer deals,Phrase,2024-06-01,Shopping,Desktop,United States,35-44,Male,1026777,20572,2.0,2.5,51369.06,2069,10.06,24.83,335395.27,6.53,10,80.6,73.4,69.3
Summer_Sale_2024,summer_AG,summer clothing,Exact,2024-06-01,Shopping,Desktop,United States,25-34,Female,588385,16022,2.72,1.56,25006.56,1457,9.09,17.16,261267.21,10.45,8,70.7,83.5,60.7
Back_To_School_2024,school_AG,school supplies,Exact,2024-06-01,Shopping,Mobile,United States,35-44,Female,401091,11088,2.76,2.16,23997.92,1155,10.42,20.78,215862.72,9.0,10,71.5,77.5,58.8
Back_To_School_2024,back_AG,back to school,Phrase,2024-06-01,Search,Mobile,United States,35-44,Male,886123,27971,3.16,1.77,49623.06,1735,6.2,28.6,295773.03,5.96,9,71.7,70.4,69.7
Back_To_School_2024,student_AG,student laptop,Broad,2024-06-01,Search,Desktop,United States,35-44,Female,1032431,24840,2.41,2.01,49867.52,2736,11.01,18.23,533989.95,10.71,7,79.7,65.6,65.1
