Campaign_Name,Ad_Set_Name,Ad_Name,Date,Objective,Placement,Device,Age,Gender,Impressions,Reach,Frequency,Clicks,CTR,Link_Clicks,CPC,Spend,Conversions,Revenue,ROAS,AOV,Video_Views,Video_Avg_Watch_Time,Engagement,Post_Reactions,Post_Comments,Post_Shares
Holiday_Campaign_2024,Engagement_Set,Instagram_Explore_Ad,2024-06-01,Traffic,Instagram_Explore,Desktop,25-34,Male,732965,599277,1.22,16699,2.28,14474,1.9,31682.95,1060,126530.98,3.99,119.37,0,0.0,4470,2325,502,159
Holiday_Campaign_2024,Awareness_Set,Facebook_Feed_Ad,2024-06-01,Conversions,Facebook_Feed,Mobile,45-54,Male,721080,576767,1.25,11932,1.65,9496,1.92,22926.1,842,123299.01,5.38,146.44,0,0.0,3458,1584,369,135
Holiday_Campaign_2024,Consideration_Set,Audience_Network_Ad,2024-06-01,Traffic,Audience_Network,Mobile,18-24,Male,1630577,1190246,1.37,31751,1.95,28527,1.94,61460.82,2561,385072.08,6.27,150.36,0,0.0,5934,3094,476,219
Black_Friday_2024,Retargeting_Set,Facebook_Marketplace_Ad,2024-06-01,Brand_Awareness,Facebook_Marketplace,Desktop,18-24,Male,2493098,2043953,1.22,59088,2.37,48262,1.85,109073.58,5249,742884.91,6.81,141.53,0,0.0,9638,4809,694,600
Black_Friday_2024,Conversion_Set,Instagram_Reels_Ad,2024-06-01,Conversions,Instagram_Reels,Desktop,25-34,Male,1031358,798661,1.29,18296,1.77,15614,2.24,41003.26,1186,204271.79,4.98,172.24,744160,22.7,6378,3313,799,240
Black_Friday_2024,Awareness_Set,Instagram_Stories_Ad,2024-06-01,Traffic,Instagram_Stories,Desktop,18-24,Female,998544,680791,1.47,17877,1.79,14857,2.0,35732.32,1712,234016.18,6.55,136.69,592179,18.5,3917,2195,291,253
Cyber_Monday_2024,Lookalike_Set,Instagram_Feed_Ad,2024-06-01,Brand_Awareness,Instagram_Feed,Mobile,45-54,Male,1928495,1359217,1.42,27126,1.41,24511,2.38,64615.07,2468,396690.72,6.14,160.73,0,0.0,7178,3385,552,437
Cyber_Monday_2024,Traffic_Set,Facebook_Feed_Ad,2024-06-01,Traffic,Facebook_Feed,Desktop,25-34,Male,640198,463909,1.38,9451,1.48,7729,2.05,19338.27,860,131561.37,6.8,152.98,0,0.0,3944,1950,304,222
Cyber_Monday_2024,Consideration_Set,Instagram_Reels_Ad,2024-06-01,Brand_Awareness,Instagram_Reels,Desktop,18-24,Male,823193,624961,1.32,19140,2.33,16248,2.22,42490.89,1464,171982.39,4.05,117.47,451152,12.9,4452,2060,447,277
Summer_Sale_2024,Consideration_Set,Instagram_Feed_Ad,2024-06-01,Brand_Awareness,Instagram_Feed,Desktop,35-44,Male,1618830,1192361,1.36,37340,2.31,30017,1.83,68247.9,2610,327165.68,4.79,125.35,0,0.0,10180,5717,1099,622
Summer_Sale_2024,Engagement_Set,Instagram_Reels_Ad,2024-06-01,Brand_Awareness,Instagram_Reels,Mobile,25-34,Male,996217,700326,1.42,24617,2.47,21089,2.47,60817.46,2437,327640.52,5.39,134.44,546538,15.1,4763,2684,579,167
Summer_Sale_2024,Retargeting_Set,Audience_Network_Ad,2024-06-01,Conversions,Audience_Network,Desktop,25-34,Female,621290,458270,1.36,10353,1.67,8131,2.06,21297.17,1048,141213.57,6.63,134.75,0,0.0,3141,1698,288,201
Back_To_School_2024,Retargeting_Set,Audience_Network_Ad,2024-06-01,Traffic,Audience_Network,Desktop,18-24,Male,2158234,1538318,1.4,43093,2.0,35170,2.01,86645.36,2489,376721.93,4.35,151.35,0,0.0,10808,4434,937,672
Back_To_School_2024,Conversion_Set,Facebook_Feed_Ad,2024-06-01,Brand_Awareness,Facebook_Feed,Mobile,45-54,Female,1559359,1086458,1.44,30989,1.99,28899,1.97,61141.56,2735,438075.72,7.16,160.17,0,0.0,6569,3584,604,354
Back_To_School_2024,Consideration_Set,Instagram_Feed_Ad,2024-06-01,Traffic,Instagram_Feed,Desktop,25-34,Male,1811653,1368461,1.32,27326,1.51,24784,2.04,55807.52,1774,209979.44,3.76,118.36,0,0.0,9552,5115,678,481
Spring_Launch_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-01,Traffic,Instagram_Feed,Desktop,35-44,Male,660444,509714,1.3,10628,1.61,9378,2.1,22322.28,1073,133026.48,5.96,123.98,0,0.0,2987,1262,374,183
Spring_Launch_2024,Retargeting_Set,Instagram_Explore_Ad,2024-06-01,Traffic,Instagram_Explore,Mobile,18-24,Male,701361,542851,1.29,16697,2.38,14349,2.23,37169.07,1128,136939.16,3.68,121.4,0,0.0,4342,2518,468,196
Spring_Launch_2024,Consideration_Set,Facebook_Marketplace_Ad,2024-06-01,Traffic,Facebook_Marketplace,Desktop,18-24,Female,1182668,927085,1.28,29289,2.48,26823,2.45,71649.4,2542,307277.26,4.29,120.88,0,0.0,4712,2731,501,166
Valentine_Day_2024,Lookalike_Set,Instagram_Reels_Ad,2024-06-01,Brand_Awareness,Instagram_Reels,Mobile,18-24,Female,1403215,1086825,1.29,19730,1.41,15632,2.24,44252.14,1760,270712.21,6.12,153.81,811493,20.3,5909,2748,678,321
Valentine_Day_2024,Awareness_Set,Facebook_Marketplace_Ad,2024-06-01,Conversions,Facebook_Marketplace,Desktop,45-54,Male,1755671,1358260,1.29,36552,2.08,28544,2.08,76159.38,2512,326940.32,4.29,130.15,0,0.0,11269,5393,1391,607
Valentine_Day_2024,Engagement_Set,Instagram_Feed_Ad,2024-06-01,Brand_Awareness,Instagram_Feed,Desktop,25-34,Male,2131752,1599657,1.33,44602,2.09,37854,1.93,86162.76,4044,534959.72,6.21,132.28,0,0.0,7616,4029,614,481
New_Year_2024,Lookalike_Set,Audience_Network_Ad,2024-06-01,Traffic,Audience_Network,Mobile,25-34,Female,1067242,866845,1.23,19681,1.84,15107,2.58,50716.37,1506,259131.37,5.11,172.07,0,0.0,6820,3891,597,317
New_Year_2024,Traffic_Set,Instagram_Explore_Ad,2024-06-01,Conversions,Instagram_Explore,Mobile,35-44,Female,654791,473111,1.38,10498,1.6,9024,2.58,27124.9,938,139821.61,5.15,149.06,0,0.0,2482,1298,321,97
New_Year_2024,Conversion_Set,Facebook_Marketplace_Ad,2024-06-01,Traffic,Facebook_Marketplace,Desktop,25-34,Male,1016198,819671,1.24,23259,2.29,20549,2.38,55314.23,1703,226547.24,4.1,133.03,0,0.0,6024,3385,735,375
Holiday_Campaign_2024,Traffic_Set,Facebook_Feed_Ad,2024-06-02,Brand_Awareness,Facebook_Feed,Mobile,25-34,Male,1896415,1422742,1.33,44716,2.36,39148,2.38,106322.61,4212,706016.74,6.64,167.62,0,0.0,8560,4066,647,448
Holiday_Campaign_2024,Lookalike_Set,Audience_Network_Ad,2024-06-02,Traffic,Audience_Network,Mobile,35-44,Female,681282,507445,1.34,13974,2.05,11370,2.28,31859.79,803,94887.45,2.98,118.17,0,0.0,4065,1918,315,205
Holiday_Campaign_2024,Traffic_Set,Instagram_Reels_Ad,2024-06-02,Traffic,Instagram_Reels,Mobile,35-44,Female,2217819,1568825,1.41,47626,2.15,37124,1.81,85987.79,3881,571891.88,6.65,147.36,1520828,20.4,14255,7173,1274,838
Black_Friday_2024,Retargeting_Set,Instagram_Feed_Ad,2024-06-02,Brand_Awareness,Instagram_Feed,Mobile,25-34,Male,547059,405286,1.35,8173,1.49,6287,2.61,21308.08,785,122747.71,5.76,156.37,0,0.0,2585,1123,205,109
Black_Friday_2024,Awareness_Set,Instagram_Reels_Ad,2024-06-02,Traffic,Instagram_Reels,Mobile,25-34,Male,668048,522540,1.28,14645,2.19,11900,2.6,38081.12,1338,198228.09,5.21,148.15,453636,17.1,2834,1335,327,100
Black_Friday_2024,Engagement_Set,Facebook_Marketplace_Ad,2024-06-02,Brand_Awareness,Facebook_Marketplace,Mobile,25-34,Male,435523,296983,1.47,6310,1.45,5744,2.38,15012.87,496,60350.49,4.02,121.67,0,0.0,2166,1071,174,104
