Campaign_Name,Ad_Squad_Name,Ad_Name,Date,Objective,Placement,Device,Age,Gender,Impressions,Swipes,Swipe_Up_Rate,Video_Views,Video_View_Rate,Quartile_1,Quartile_2,Quartile_3,Completion_Rate,Spend,eCPM,eCPSwipe,Screen_Time_Millis,Conversions,Conversion_Rate,Revenue,ROAS,Frequency,Reach
Holiday_Campaign_2024,Discover_Squad,Discover_Ad,2024-06-01,App_Installs,Discover,Mobile,18-24,Male,1010383,23105,2.29,877528,86.85,789775,702022,526516,60.0,44431.08,43.97,1.92,9974,1686,7.3,241920.32,5.44,1.69,598703
Holiday_Campaign_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Video_Views,Spotlight,Mobile,35-44,Male,2162016,43774,2.02,1622413,75.04,1460171,1297930,973447,60.0,96203.58,44.5,2.2,7598,4830,11.03,706108.7,7.34,1.64,1315883
Holiday_Campaign_2024,Stories_Squad,Stories_Ad,2024-06-01,Conversions,Stories,Mobile,18-24,Male,879450,16065,1.83,720008,81.87,648007,576006,432004,60.0,27238.36,30.97,1.7,8234,1577,9.82,225031.13,8.26,1.61,547878
Black_Friday_2024,Stories_Squad,Stories_Ad,2024-06-01,Video_Views,Stories,Mobile,35-44,Male,2240935,47238,2.11,1748256,78.01,1573430,1398604,1048953,60.0,87887.88,39.22,1.86,7553,4586,9.71,633921.04,7.21,1.51,1487937
Black_Friday_2024,Camera_Squad,Camera_Ad,2024-06-01,Engagement,Camera,Mobile,18-24,Female,1504503,34374,2.28,1365027,90.73,1228524,1092021,819016,60.0,71436.53,47.48,2.08,8491,2791,8.12,392660.94,5.5,1.48,1013960
Black_Friday_2024,Discover_Squad,Discover_Ad,2024-06-01,Video_Views,Discover,Mobile,18-24,Male,1750657,31420,1.79,1317734,75.27,1185960,1054187,790640,60.0,67644.03,38.64,2.15,8769,2472,7.87,414804.24,6.13,1.6,1095075
Cyber_Monday_2024,Camera_Squad,Camera_Ad,2024-06-01,App_Installs,Camera,Mobile,18-24,Female,1042778,15220,1.46,946791,90.8,852111,757432,568074,60.0,31255.77,29.97,2.05,10168,1769,11.62,316565.58,10.13,1.51,691077
Cyber_Monday_2024,Stories_Squad,Stories_Ad,2024-06-01,Engagement,Stories,Mobile,25-34,Male,1169432,17210,1.47,882345,75.45,794110,705876,529407,60.0,29614.01,25.32,1.72,8201,1477,8.58,220109.56,7.43,1.44,810107
Cyber_Monday_2024,Discover_Squad,Discover_Ad,2024-06-01,App_Installs,Discover,Mobile,35-44,Female,2165035,39968,1.85,1667928,77.04,1501135,1334342,1000756,60.0,82878.67,38.28,2.07,7651,2738,6.85,502068.63,6.06,1.46,1483897
Summer_Sale_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Engagement,Spotlight,Mobile,25-34,Male,1376885,29474,2.14,1190094,86.43,1071084,952075,714056,60.0,59521.72,43.23,2.02,7363,3152,10.69,439874.66,7.39,1.58,869641
Summer_Sale_2024,Camera_Squad,Camera_Ad,2024-06-01,Conversions,Camera,Mobile,35-44,Female,2448870,47340,1.93,1963820,80.19,1767438,1571056,1178292,60.0,72289.75,29.52,1.53,9178,3861,8.16,585361.57,8.1,1.47,1664861
Summer_Sale_2024,Discover_Squad,Discover_Ad,2024-06-01,Conversions,Discover,Mobile,35-44,Male,1104288,19545,1.77,846826,76.69,762143,677460,508095,60.0,39242.47,35.54,2.01,8678,2079,10.64,338754.97,8.63,1.46,756686
Back_To_School_2024,Camera_Squad,Camera_Ad,2024-06-01,Video_Views,Camera,Mobile,18-24,Female,1401815,24135,1.72,1053070,75.12,947763,842456,631842,60.0,37646.73,26.86,1.56,8729,1596,6.61,265810.13,7.06,1.6,877348
Back_To_School_2024,Discover_Squad,Discover_Ad,2024-06-01,Engagement,Discover,Mobile,35-44,Female,1420156,21717,1.53,1157602,81.51,1041841,926081,694561,60.0,44283.31,31.18,2.04,7521,1672,7.7,233570.1,5.27,1.61,884285
Back_To_School_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,Engagement,Spotlight,Mobile,25-34,Male,2774067,59164,2.13,2363907,85.21,2127516,1891125,1418344,60.0,125716.45,45.32,2.12,8836,6434,10.87,932642.8,7.42,1.43,1944711
Spring_Launch_2024,Discover_Squad,Discover_Ad,2024-06-01,Video_Views,Discover,Mobile,35-44,Male,1353462,30152,2.23,1082483,79.98,974234,865986,649489,60.0,47080.49,34.79,1.56,9955,2321,7.7,363239.22,7.72,1.45,935705
Spring_Launch_2024,Camera_Squad,Camera_Ad,2024-06-01,Conversions,Camera,Mobile,25-34,Female,1508458,27327,1.81,1231339,81.63,1108205,985071,738803,60.0,44935.42,29.79,1.64,8084,1940,7.1,295278.72,6.57,1.41,1067352
Spring_Launch_2024,Spotlight_Squad,Spotlight_Ad,2024-06-01,App_Installs,Spotlight,Mobile,35-44,Female,2438455,49238,2.02,1968717,80.74,1771845,1574973,1181230,60.0,108280.21,44.41,2.2,8007,5786,11.75,856822.99,7.91,1.54,1584123
Valentine_Day_2024,Stories_Squad,Stories_Ad,2024-06-01,Conversions,Stories,Mobile,25-34,Female,817611,10627,1.3,693487,84.82,624138,554789,416092,60.0,19681.02,24.07,1.85,7793,714,6.72,106653.77,5.42,1.42,574841
Valentine_Day_2024,Discover_Squad,Discover_Ad,2024-06-01,Video_Views,Discover,Mobile,35-44,Female,980452,17536,1.79,892817,91.06,803535,714253,535690,60.0,29094.34,29.67,1.66,9494,1779,10.14,306980.22,10.55,1.62,603853
