Advertiser,Campaign,Ad_Group,Creative,Date,Channel,Device,Environment,Data_Provider,Audience_Segment,Impressions,Clicks,CTR,Conversions,Post_Click_Conv,Post_View_Conv,Conversion_Rate,Media_Cost,Revenue,ROAS,eCPM,eCPC,eCPA,Viewable_Impressions,Measurable_Impressions,Viewability_Rate,Video_Completions,Video_Completion_Rate,Frequency,Reach,Unique_Reach
Premium_Retail_2024,Holiday_Campaign_2024,Display_AG,Display_Creative,2024-06-01,Display,Connected_TV,CTV,Experian,Lookalike_Purchasers,2716875,52463,1.93,2765,2322,443,5.27,123450.94,502646.09,4.07,45.44,2.35,44.65,2445187,2716875,90.0,0,0.0,1.6,1694219,1524797
Premium_Retail_2024,Holiday_Campaign_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,App,LiveRamp,Behavioral_Shoppers,1770612,33904,1.91,2355,1978,377,6.95,77024.9,358648.22,4.66,43.5,2.27,32.71,1593550,1770612,90.0,0,0.0,1.62,1091017,981915
Premium_Retail_2024,Holiday_Campaign_2024,Display_AG,Display_Creative,2024-06-01,Display,Desktop,CTV,Neustar,Geo_Proximity,1104001,13683,1.24,1235,1037,198,9.03,25909.55,218956.76,8.45,23.47,1.89,20.98,993600,1104001,90.0,0,0.0,1.65,667382,600643
Premium_Retail_2024,Black_Friday_2024,Video_AG,Video_Creative,2024-06-01,Video,Connected_TV,Web,Neustar,Contextual_Shopping,2571310,37389,1.45,3126,2625,501,8.36,83346.47,514223.39,6.17,32.41,2.23,26.66,2314179,2571310,90.0,1542786,60.0,1.5,1708872,1537984
Premium_Retail_2024,Black_Friday_2024,Native_AG,Native_Creative,2024-06-01,Native,Mobile,CTV,LiveRamp,High_Intent_Buyers,1446616,26790,1.85,2131,1790,341,7.95,52636.59,399778.72,7.6,36.39,1.96,24.7,1301954,1446616,90.0,0,0.0,1.59,909862,818875
Premium_Retail_2024,Black_Friday_2024,Display_AG,Display_Creative,2024-06-01,Display,Desktop,CTV,LiveRamp,Lookalike_Purchasers,3288054,59974,1.82,4463,3748,715,7.44,111619.79,851260.52,7.63,33.95,1.86,25.01,2959248,3288054,90.0,0,0.0,1.77,1857870,1672083
Premium_Retail_2024,Cyber_Monday_2024,Display_AG,Display_Creative,2024-06-01,Display,Mobile,CTV,Oracle,High_Intent_Buyers,1511948,24283,1.61,2037,1711,326,8.39,45343.77,330328.41,7.28,29.99,1.87,22.26,1360753,1511948,90.0,0,0.0,1.72,879429,791486
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-01,Video,Mobile,App,LiveRamp,Behavioral_Shoppers,3401517,39510,1.16,2688,2257,431,6.8,73795.23,493998.17,6.69,21.69,1.87,27.45,3061365,3401517,90.0,2040910,60.0,1.61,2109610,1898649
Premium_Retail_2024,Cyber_Monday_2024,Video_AG,Video_Creative,2024-06-01,Video,Connected_TV,App,Oracle,Geo_Proximity,1816897,29227,1.61,1795,1507,288,6.14,47163.33,305589.9,6.48,25.96,1.61,26.27,1635207,1816897,90.0,1090138,60.0,1.66,1095026,985523
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,CTV,Experian,Contextual_Shopping,1837940,23623,1.29,1676,1407,269,7.09,54231.24,303372.28,5.59,29.51,2.3,32.36,1654146,1837940,90.0,0,0.0,1.79,1026625,923962
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,CTV,Oracle,Behavioral_Shoppers,3048873,36275,1.19,2724,2288,436,7.51,80676.95,451219.41,5.59,26.46,2.22,29.62,2743985,3048873,90.0,0,0.0,1.65,1843684,1659315
Premium_Retail_2024,Summer_Sale_2024,Native_AG,Native_Creative,2024-06-01,Native,Connected_TV,App,Oracle,In_Market_Shoppers,2749376,31565,1.15,1759,1477,282,5.57,72481.53,329753.35,4.55,26.36,2.3,41.21,2474438,2749376,90.0,0,0.0,1.66,1661224,1495101
Premium_Retail_2024,Back_To_School_2024,Display_AG,Display_Creative,2024-06-01,Display,Desktop,App,Oracle,Behavioral_Shoppers,2514985,32136,1.28,2886,2424,462,8.98,63476.66,494169.92,7.79,25.24,1.98,21.99,2263486,2514985,90.0,0,0.0,1.75,1440179,1296161
Premium_Retail_2024,Back_To_School_2024,Video_AG,Video_Creative,2024-06-01,Video,Connected_TV,App,LiveRamp,High_Intent_Buyers,1432942,25620,1.79,1639,1376,263,6.4,59359.43,250892.88,4.23,41.42,2.32,36.22,1289647,1432942,90.0,859765,60.0,1.49,959032,863128
Premium_Retail_2024,Back_To_School_2024,Native_AG,Native_Creative,2024-06-01,Native,Desktop,CTV,Experian,In_Market_Shoppers,1762701,33801,1.92,2762,2320,442,8.17,65666.51,440570.22,6.71,37.25,1.94,23.77,1586430,1762701,90.0,0,0.0,1.54,1144037,1029633
Premium_Retail_2024,Spring_Launch_2024,Display_AG,Display_Creative,2024-06-01,Display,Connected_TV,CTV,Neustar,Lookalike_Purchasers,2251449,26553,1.18,1644,1380,264,6.19,58527.78,300487.59,5.13,26.0,2.2,35.6,2026304,2251449,90.0,0,0.0,1.69,1333531,1200177
Premium_Retail_2024,Spring_Launch_2024,Video_AG,Video_Creative,2024-06-01,Video,Mobile,CTV,Oracle,Behavioral_Shoppers,2047910,33736,1.65,2111,1773,338,6.26,70337.5,331458.65,4.71,34.35,2.08,33.32,1843119,2047910,90.0,1228746,60.0,1.75,1173428,1056085
Premium_Retail_2024,Spring_Launch_2024,Video_AG,Video_Creative,2024-06-01,Video,Connected_TV,CTV,Experian,Lookalike_Purchasers,2049414,27882,1.36,1629,1368,261,5.84,66344.5,286674.47,4.32,32.37,2.38,40.73,1844472,2049414,90.0,1229648,60.0,1.72,1189127,1070214
Premium_Retail_2024,Valentine_Day_2024,Display_AG,Display_Creative,2024-06-01,Display,Desktop,Web,Oracle,Contextual_Shopping,1603483,22101,1.38,1792,1505,287,8.11,50695.74,292098.98,5.76,31.62,2.29,28.29,1443134,1603483,90.0,0,0.0,1.64,980010,882009
